galid,ra,dec,mag,sed_name,z,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,catsim_id
26111785263131,53.1729911,-27.5814134,23.6989201,galaxySED/Inst.20E09.04Z.spec.gz,0.66,sersic2d,0.157895103,0.0411351994,68.5663376,1,25499790296
26111785264155,53.1732907,-27.5812924,23.2830973,galaxySED/Inst.20E09.04Z.spec.gz,0.66,sersic2d,0.157895103,0.0411351994,68.5663376,1,25499790297
26652744515611,53.0652662,-27.5867107,21.1989937,galaxySED/Burst.16E09.04Z.spec.gz,1.44,sersic2d,0.369712293,0.0915175006,321.064392,1,26028070816
26652744516635,53.0656432,-27.5865129,21.8820142,galaxySED/Burst.16E09.04Z.spec.gz,1.44,sersic2d,0.369712293,0.0915175006,321.064392,1,26028070817
26652744517659,53.0651053,-27.5864933,21.4209427,galaxySED/Burst.16E09.04Z.spec.gz,1.44,sersic2d,0.369712293,0.0915175006,321.064392,1,26028070818
26652744518683,53.0653751,-27.5862195,21.3621042,galaxySED/Burst.16E09.04Z.spec.gz,1.44,sersic2d,0.369712293,0.0915175006,321.064392,1,26028070819
28184117391387,52.828717,-27.3332627,22.3213938,galaxySED/Const.80E09.25Z.spec.gz,1.51,sersic2d,0.172573596,0.0371308997,112.19973,1,27523552140
28184117392411,52.8284791,-27.33301,22.4099673,galaxySED/Const.80E09.25Z.spec.gz,1.51,sersic2d,0.172573596,0.0371308997,112.19973,1,27523552141
28184117393435,52.8289294,-27.3329703,22.3315084,galaxySED/Const.80E09.25Z.spec.gz,1.51,sersic2d,0.172573596,0.0371308997,112.19973,1,27523552142
28184117394459,52.8287148,-27.3327956,22.0243437,galaxySED/Const.80E09.25Z.spec.gz,1.51,sersic2d,0.172573596,0.0371308997,112.19973,1,27523552143
28292977983515,52.7223533,-27.3847859,23.4315648,galaxySED/Exp.25E09.1Z.spec.gz,1.57,sersic2d,0.95584178,0.215144604,100.020584,1,27629861312
28292977984539,52.722328,-27.3844452,21.4544124,galaxySED/Exp.25E09.1Z.spec.gz,1.57,sersic2d,0.95584178,0.215144604,100.020584,1,27629861313
28355155324955,52.9365093,-27.405485,22.0468287,galaxySED/Const.80E09.25Z.spec.gz,1.97,sersic2d,0.267287403,0.0611792989,233.855301,1,27690581372
28355155325979,52.9359646,-27.4053484,22.7186475,galaxySED/Const.80E09.25Z.spec.gz,1.97,sersic2d,0.267287403,0.0611792989,233.855301,1,27690581373
28765801148443,52.833645,-27.6265408,21.7278094,galaxySED/Exp.25E09.25Z.spec.gz,1.92,sersic2d,0.479646206,0.332436591,221.615311,1,28091602684
28765801149467,52.8338603,-27.6264031,22.2774736,galaxySED/Exp.25E09.25Z.spec.gz,1.92,sersic2d,0.479646206,0.332436591,221.615311,1,28091602685
28765801150491,52.8334873,-27.6263737,22.0430554,galaxySED/Exp.25E09.25Z.spec.gz,1.92,sersic2d,0.479646206,0.332436591,221.615311,1,28091602686
28765801151515,52.8336697,-27.6262012,21.9599632,galaxySED/Exp.25E09.25Z.spec.gz,1.92,sersic2d,0.479646206,0.332436591,221.615311,1,28091602687
