#detector;R:1,0 S:1,1;62.399995;0.000000;41.999998;82.799987;-19.999999;19.999999;0.200000
#detector;R:1,0 S:0,0;21.999999;-40.399998;2.000000;41.999998;-60.799995;-19.999999;0.200000
#detector;R:0,0 S:1,1;-22.000000;0.000000;-41.999998;-2.000000;-20.400000;20.400000;0.200000
#detector;R:0,0 S:0,0;-62.399993;-40.399995;-82.399987;-42.399995;-60.799993;-19.999997;0.200000
#detector;R:1,0 S:0,2;21.999999;40.399998;2.000000;41.999998;19.999999;60.799995;0.200000
#detector;R:1,0 S:1,0;62.399993;-40.399995;42.399995;82.399987;-60.799993;-19.999997;0.200000
#detector;R:0,0 S:0,2;-62.399993;40.399995;-82.399987;-42.399995;19.999997;60.799993;0.200000
#detector;R:0,0 S:1,0;-21.999999;-40.399998;-42.399998;-1.600000;-60.399995;-20.399999;0.200000
#detector;R:1,0 S:1,2;62.399993;40.399995;42.399995;82.399987;19.999997;60.799993;0.200000
#detector;R:1,0 S:0,1;22.000000;0.000000;2.000000;41.999998;-20.400000;20.400000;0.200000
#detector;R:0,0 S:1,2;-21.999999;40.399998;-41.999998;-2.000000;19.999999;60.799995;0.200000
#detector;R:0,0 S:0,1;-62.399995;0.000000;-82.399987;-42.399998;-20.399999;20.399999;0.200000
#galSimType;uniqueId;raObserved;decObserved;chipName;x_pupil;y_pupil;sedFilepath;majorAxis;minorAxis;sindex;halfLightRadius;positionAngle;fitsFiles;redshift
sersic;2154118601754;1.5467005;-4.81638523;R:0,0 S:1,0;-25.3760512;-32.1462464;galaxySED/Inst.32E09.002Z.spec.gz;1.2314122e-07;1.22892515e-07;4;0.0253996998;2.54900682;R:0,0 S:1,0;1.73350823
sersic;2152859681818;1.54391314;-4.81598275;R:0,0 S:1,0;-26.0720116;-22.0667634;galaxySED/Inst.25E09.02Z.spec.gz;4.49097465e-07;3.66245695e-07;4;0.0926330015;3.33065259;R:0,0 S:1,1//R:0,0 S:1,0;0.769763708
sersic;2155107872794;1.54641702;-4.81889051;R:0,0 S:1,0;-16.3062189;-31.8076512;galaxySED/Burst.25E09.02Z.spec.gz;2.89947672e-07;2.57430724e-07;4;0.0598060004;2.13065737;R:0,0 S:1,0;1.17804193
sersic;2163601821722;1.53648307;-4.81527428;R:0,0 S:1,1;-26.618925;4.70322893;galaxySED/Burst.25E09.02Z.spec.gz;1.18543488e-06;9.14714922e-07;4;0.244513497;0.654819713;R:0,0 S:1,1;1.76646268
sersic;2161073440794;1.53884037;-4.81666537;R:0,0 S:1,1;-22.2584993;-4.10444418;galaxySED/Inst.20E09.02Z.spec.gz;3.54802642e-07;3.42365237e-07;4;0.0731832981;5.75657769;R:0,0 S:1,1;1.59216678
sersic;2154809168922;1.54051197;-4.81965169;R:0,0 S:1,1;-11.9871018;-10.8893564;galaxySED/Burst.62E09.02Z.spec.gz;1.30431031e-06;1.2150895e-06;4;0.269033313;4.5969516;R:0,0 S:1,1;0.945027471
sersic;2164327660570;1.54098353;-4.81869321;R:0,0 S:1,1;-15.5546262;-12.3177747;galaxySED/Burst.25E09.02Z.spec.gz;5.68866315e-07;5.42210286e-07;4;0.1173371;2.99538298;R:0,0 S:1,1;3.05252075
sersic;2150426706970;1.54092101;-4.81745722;R:0,0 S:1,1;-19.974899;-11.7608497;galaxySED/Exp.80E09.04Z.spec.gz;6.95055974e-06;6.89063341e-06;4;1.43365586;4.67817588;R:0,0 S:1,1//R:0,0 S:0,1;0.453708202
sersic;2155769832474;1.54010148;-4.81685349;R:0,0 S:1,1;-21.9220464;-8.66643978;galaxySED/Burst.40E09.04Z.spec.gz;1.90459537e-06;1.80984827e-06;4;0.392850995;0.840874339;R:0,0 S:1,1;1.04230642
sersic;2153714846746;1.5421785;-4.81611164;R:0,0 S:1,1;-25.143271;-15.8963437;galaxySED/Inst.25E09.02Z.spec.gz;9.75105264e-07;9.5294686e-07;4;0.201129898;3.07089851;R:0,0 S:1,1;1.22056901
sersic;2156557625370;1.54228857;-4.8173784;R:0,0 S:1,1;-20.6252953;-16.631651;galaxySED/Burst.25E09.02Z.spec.gz;1.12225785e-06;1.10889689e-06;4;0.231482297;3.18103753;R:0,0 S:1,1;2.35389113
sersic;2152352800794;1.54300833;-4.81678944;R:0,0 S:1,1;-22.9329899;-19.047588;galaxySED/Inst.25E09.02Z.spec.gz;1.41235876e-06;1.36381676e-06;4;0.291319907;0.0793982863;R:0,0 S:1,1;1.57702351
sersic;2156428581914;1.54368657;-4.82073629;R:0,0 S:1,0;-8.94645916;-22.5379676;galaxySED/Inst.25E09.02Z.spec.gz;1.16639484e-06;8.1215454e-07;4;0.240586206;4.21064624;R:0,0 S:1,1//R:0,0 S:1,0;1.90914392
sersic;2153271490586;1.54439764;-4.81910228;R:0,0 S:1,0;-15.0034337;-24.6410306;galaxySED/Inst.40E09.04Z.spec.gz;1.09952157e-06;1.09930484e-06;4;0.226792604;4.77372105;R:0,0 S:1,1//R:0,0 S:1,0;2.08313751
