prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,majorAxis,minorAxis,positionAngle,sindex,internalExtinctionModel,internalAv,internalRv,galacticExtinctionModel,galacticAv,galacticRv
object,14964129818,52.8759173,-27.2719086,20.8190979,galaxySED/Inst.40E09.04Z.spec.gz,0.502,0,0,0,0,0,sersic2d,1.06345916e-05,8.36585039e-06,-3.03419905,4,CCM,0.400000006,3.0999999,CCM,0.0291052499,3.1
object,15088954394,52.9697482,-27.6411077,21.3970913,galaxySED/Burst.32E09.02Z.spec.gz,0.514,0,0,0,0,0,sersic2d,7.60009485e-06,6.91645233e-06,2.90562763,4,CCM,0.0,3.0999999,CCM,0.0277893158,3.1
object,15396595738,52.9372469,-27.6452778,22.9531235,galaxySED/Burst.62E09.04Z.spec.gz,1.092,0,0,0,0,0,sersic2d,3.05072598e-06,2.09825913e-06,-1.43017864,4,CCM,0.100000001,3.0999999,CCM,0.0261074886,3.1
object,15498521626,53.0672475,-27.222997,21.5295166,galaxySED/Inst.20E09.02Z.spec.gz,0.53,0,0,0,0,0,sersic2d,3.67709433e-06,3.46421322e-06,-1.72558539,4,CCM,0.0,3.0999999,CCM,0.0226148633,3.1
object,15999139866,53.0388403,-27.520589,21.1791939,galaxySED/Burst.32E09.02Z.spec.gz,0.53,0,0,0,0,0,sersic2d,1.85787994e-06,1.20487378e-06,-1.19423665,4,CCM,0.0,3.0999999,CCM,0.028139512,3.1
object,16094503962,53.0717014,-27.3760197,21.4772133,galaxySED/Inst.50E09.04Z.spec.gz,0.52,0,0,0,0,0,sersic2d,2.77912943e-06,2.61771284e-06,2.0820818,4,CCM,0.100000001,3.0999999,CCM,0.0228115079,3.1
object,16104002586,52.8426525,-27.4626498,19.9638085,galaxySED/Inst.25E09.02Z.spec.gz,0.326,0,0,0,0,0,sersic2d,4.30163126e-06,3.31141209e-06,1.95457154,4,CCM,0.0,3.0999999,CCM,0.0331265758,3.1
object,16105155610,53.2047936,-27.4101072,20.6520657,galaxySED/Inst.25E09.02Z.spec.gz,0.424,0,0,0,0,0,sersic2d,1.92219708e-06,1.46336883e-06,-1.42687019,4,CCM,0.0,3.0999999,CCM,0.0229944113,3.1
object,16510947354,52.9612466,-27.6716655,21.1497387,galaxySED/Burst.62E09.04Z.spec.gz,0.536,0,0,0,0,0,sersic2d,6.27746738e-06,5.63732327e-06,1.84653566,4,CCM,0.0,3.0999999,CCM,0.0299401914,3.1
object,16674477082,52.9548212,-27.5471193,20.7879643,galaxySED/Exp.80E09.02Z.spec.gz,0.45,0,0,0,0,0,sersic2d,1.90625488e-06,1.81947389e-06,2.83620018,4,CCM,0.300000012,3.0999999,CCM,0.0245488471,3.1
