prefix,uniqueId,raPhoSim,decPhoSim,phoSimMagNorm,sedFilepath,redshift,shear1,shear2,kappa,raOffset,decOffset,spatialmodel,internalExtinctionModel,galacticExtinctionModel,galacticAv,galacticRv,twinkles_system,twinkles_img_num,lens_galaxy_uID
object,21586831885340,52.747445,-27.2633775,24.1536558,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0338483039,3.1,128,1,2158683162
object,21686651007004,53.1740428,-27.6690131,22.653429,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0280416081,3.1,31,0,2168665114
object,21686651008028,53.1747317,-27.6687239,22.3467947,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0280165084,3.1,31,1,2168665114
object,21686651009052,53.1747597,-27.6684099,21.9592492,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0280177419,3.1,31,2,2168665114
object,21686651010076,53.1741176,-27.668315,23.3788922,agnSED/agn.spec.gz,0.62,0,0,0,0,0,point,none,CCM,0.0280438847,3.1,31,3,2168665114
object,21758535790620,52.9197729,-27.4277898,20.9283805,agnSED/agn.spec.gz,1.54,0,0,0,0,0,point,none,CCM,0.0338134239,3.1,27,0,2175853594
object,21758535791644,52.920295,-27.4269557,19.3173009,agnSED/agn.spec.gz,1.54,0,0,0,0,0,point,none,CCM,0.0337807961,3.1,27,1,2175853594
object,22156258639900,53.1450828,-27.218841,23.2130321,agnSED/agn.spec.gz,1.57,0,0,0,0,0,point,none,CCM,0.0202328201,3.1,332,0,2215625754
object,22156258640924,53.144914,-27.2185623,23.6033412,agnSED/agn.spec.gz,1.57,0,0,0,0,0,point,none,CCM,0.0202486622,3.1,332,1,2215625754
object,22832322617372,52.9606092,-27.6574468,18.6031534,agnSED/agn.spec.gz,1.33,0,0,0,0,0,point,none,CCM,0.0300984701,3.1,14,0,2283232282
object,22832322618396,52.9609771,-27.6575505,20.4118978,agnSED/agn.spec.gz,1.33,0,0,0,0,0,point,none,CCM,0.0301407138,3.1,14,1,2283232282
object,23078698098716,53.0257038,-27.6720605,20.9656979,agnSED/agn.spec.gz,1.59,0,0,0,0,0,point,none,CCM,0.0312342937,3.1,278,0,2307869722
object,23078698099740,53.0258456,-27.6718325,21.0984139,agnSED/agn.spec.gz,1.59,0,0,0,0,0,point,none,CCM,0.0312333158,3.1,278,1,2307869722
object,23265218875420,52.7490378,-27.3067562,20.5068623,agnSED/agn.spec.gz,1.52,0,0,0,0,0,point,none,CCM,0.0324962556,3.1,77,0,2326521882
object,23265218876444,52.7484631,-27.3065593,21.5130708,agnSED/agn.spec.gz,1.52,0,0,0,0,0,point,none,CCM,0.0325106987,3.1,77,1,2326521882
object,23333130735644,52.7334089,-27.551825,21.4676814,agnSED/agn.spec.gz,3.73,0,0,0,0,0,point,none,CCM,0.0302024525,3.1,121,0,2333313050
object,23333130736668,52.7331678,-27.5515383,21.0981852,agnSED/agn.spec.gz,3.73,0,0,0,0,0,point,none,CCM,0.0301881825,3.1,121,1,2333313050
object,23753135505436,52.9783811,-27.6284821,18.8072138,agnSED/agn.spec.gz,1.87,0,0,0,0,0,point,none,CCM,0.0274367655,3.1,348,0,2375313434
object,23753135506460,52.9779191,-27.6285241,20.6917949,agnSED/agn.spec.gz,1.87,0,0,0,0,0,point,none,CCM,0.0274224991,3.1,348,1,2375313434
object,24537958580252,52.7099213,-27.4037782,20.3755118,agnSED/agn.spec.gz,0.8,0,0,0,0,0,point,none,CCM,0.0277443543,3.1,44,0,2453795866
object,24537958581276,52.7101438,-27.4035004,22.7346914,agnSED/agn.spec.gz,0.8,0,0,0,0,0,point,none,CCM,0.0277534071,3.1,44,1,2453795866
object,25132237119516,53.2572842,-27.237825,22.2986743,agnSED/agn.spec.gz,1.97,0,0,0,0,0,point,none,CCM,0.024916641,3.1,78,0,2513223706
object,25132237120540,53.2568972,-27.2375078,21.4009337,agnSED/agn.spec.gz,1.97,0,0,0,0,0,point,none,CCM,0.024895875,3.1,78,1,2513223706
object,25553121636380,53.0839133,-27.1480723,21.2451052,agnSED/agn.spec.gz,0.82,0,0,0,0,0,point,none,CCM,0.0231825803,3.1,87,0,2555312154
object,25553121637404,53.0840649,-27.148124,22.995539,agnSED/agn.spec.gz,0.82,0,0,0,0,0,point,none,CCM,0.0231821277,3.1,87,1,2555312154
object,25751247556636,53.3076683,-27.3212151,23.923335,agnSED/agn.spec.gz,2.06,0,0,0,0,0,point,none,CCM,0.023838835,3.1,673,0,2575124506
object,25751247557660,53.3078756,-27.321282,23.5466926,agnSED/agn.spec.gz,2.06,0,0,0,0,0,point,none,CCM,0.0238399825,3.1,673,1,2575124506
object,25753336651804,53.0157589,-27.2841278,23.3505166,agnSED/agn.spec.gz,2.71,0,0,0,0,0,point,none,CCM,0.024675197,3.1,706,0,2575333402
object,25753336652828,53.015476,-27.2836291,23.9407222,agnSED/agn.spec.gz,2.71,0,0,0,0,0,point,none,CCM,0.024668642,3.1,706,1,2575333402
object,25753336653852,53.0161049,-27.2838133,22.7067057,agnSED/agn.spec.gz,2.71,0,0,0,0,0,point,none,CCM,0.024664672,3.1,706,2,2575333402
object,25753336654876,53.0160393,-27.2835348,22.7947783,agnSED/agn.spec.gz,2.71,0,0,0,0,0,point,none,CCM,0.024659879,3.1,706,3,2575333402
object,26111785263132,53.1735777,-27.5808622,21.6660619,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0286311218,3.1,74,0,2611178522
object,26111785264156,53.1738768,-27.5807403,21.3343657,agnSED/agn.spec.gz,0.66,0,0,0,0,0,point,none,CCM,0.0286169152,3.1,74,1,2611178522
object,26652744515612,53.0658829,-27.5865151,22.1979163,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0296165182,3.1,204,0,2665274394
object,26652744516636,53.0662591,-27.586316,22.9064167,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0296244185,3.1,204,1,2665274394
object,26652744517660,53.0657211,-27.5862982,22.4190759,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.029608174,3.1,204,2,2665274394
object,26652744518684,53.0659897,-27.5860235,22.3620612,agnSED/agn.spec.gz,1.44,0,0,0,0,0,point,none,CCM,0.0296116468,3.1,204,3,2665274394
